iter	Passed	Remaining
0	0	901
1	1	837
2	2	816
3	3	789
4	3	782
5	4	784
6	5	782
7	6	781
8	7	777
9	8	823
10	9	828
11	10	828
12	10	826
13	11	819
14	12	815
15	13	809
16	14	812
17	14	814
18	15	814
19	16	811
20	17	811
21	18	810
22	19	808
23	19	805
24	20	810
25	21	814
26	22	813
27	23	810
28	24	808
29	25	808
30	25	811
31	26	808
32	27	805
33	28	801
34	28	797
35	29	794
36	30	790
37	31	787
38	31	786
39	32	785
40	33	786
41	34	787
42	35	785
43	36	784
44	36	780
45	37	779
46	38	776
47	39	774
48	39	772
49	40	771
50	41	768
51	42	766
52	42	763
53	43	763
54	45	773
55	45	774
56	46	773
57	47	772
58	48	772
59	49	769
60	49	767
61	50	766
62	51	764
63	52	763
64	52	761
65	53	759
66	54	758
67	55	757
68	56	756
69	57	762
70	58	763
71	59	761
72	59	761
73	60	760
74	61	758
75	62	756
76	62	754
77	63	752
78	64	750
79	65	748
80	65	746
81	66	744
82	66	739
83	67	738
84	68	741
85	69	741
86	70	739
87	71	739
88	72	739
89	73	738
90	73	737
91	74	735
92	75	734
93	76	732
94	76	731
95	77	729
96	78	726
97	78	725
98	79	723
99	80	723
100	81	722
101	81	721
102	82	720
103	83	718
104	84	718
105	85	717
106	85	716
107	86	715
108	87	713
109	87	711
110	88	709
111	89	707
112	89	706
113	90	704
114	91	703
115	92	701
116	92	699
117	93	698
118	94	697
119	94	696
120	95	694
121	96	692
122	96	690
123	97	688
124	98	687
125	98	686
126	99	683
127	100	686
128	101	684
129	102	682
130	102	680
131	103	679
132	103	677
133	104	677
134	105	675
135	106	673
136	106	672
137	107	670
138	107	668
139	108	667
140	109	665
141	109	662
142	110	660
143	110	659
144	111	657
145	112	655
146	112	654
147	113	652
148	114	651
149	114	649
150	115	648
151	116	647
152	116	646
153	117	645
154	118	644
155	118	642
156	119	641
157	120	639
158	120	637
159	121	636
160	121	633
161	122	632
162	122	630
163	123	629
164	124	627
165	124	626
166	125	624
167	125	623
168	126	621
169	127	620
170	127	618
171	128	617
172	129	617
173	129	615
174	130	614
175	130	613
176	131	612
177	132	610
178	132	609
179	133	608
180	134	606
181	134	605
182	135	604
183	136	603
184	136	601
185	137	600
186	137	599
187	138	597
188	139	596
189	139	595
190	140	594
191	141	593
192	141	592
193	142	591
194	142	590
